Algos,data_size,ETA,Acc,Precision,Recall,F1,MSE,AUC,Iteration
LogReg,"(63033, 2)",0.092349,0.491029,0.491029,1.000000,0.658644,0.508971,0.500000,"LLE 2c, 10k, 18s"
SGD,"(63033, 2)",0.070092,0.491029,0.491029,1.000000,0.658644,0.508971,0.500000,"LLE 2c, 10k, 18s"
DecTree,"(63033, 2)",0.048997,0.491029,0.491029,1.000000,0.658644,0.508971,0.500000,"LLE 2c, 10k, 18s"
LogReg,"(63033, 2)",0.053634,0.491029,0.491029,1.000000,0.658644,0.508972,0.500000,"t-SNE 2c, 1389s"
RandFor,"(218886, 12)",30.068089,0.500726,0.492967,0.438323,0.464042,0.499274,0.499878,PCA 12
KNN,"(140001, 46)",4.180997,0.502539,0.525810,0.504217,0.514787,0.497461,0.502457,RF 46
NB,"(140001, 25)",0.045481,0.502389,0.520832,0.615215,0.564103,0.497611,0.496858,PCA 27
KNN,"(140001, 46)",1.587327,0.502025,0.524055,0.528497,0.526266,0.497975,0.500727,PCA 46
KNN,"(140001, 25)",0.907558,0.501939,0.523972,0.528456,0.526204,0.498061,0.500639,PCA 27
DecTree,"(140001, 2)",0.151466,0.501789,0.524528,0.513962,0.519191,0.498211,0.501193,"t-SNE 2c, 4291s"
SGD,"(140001, 2)",0.108996,0.501789,0.524528,0.513962,0.519191,0.498211,0.501193,"t-SNE 2c, 4291s"
KNN,"(63033, 2)",0.042968,0.498025,0.489666,0.528157,0.508184,0.501975,0.498556,"LLE 2c, 10k, 18s"
KNN,"(140001, 12)",0.522254,0.501768,0.523825,0.527964,0.525887,0.498232,0.500484,"PCA 12, 1.5"
XTrees,"(140001, 2)",1.082909,0.501704,0.526269,0.479856,0.501992,0.498296,0.502775,"t-SNE 2c, 4291s"
XTrees,"(140001, 8)",1.683510,0.499796,0.524159,0.480142,0.501186,0.500204,0.500760,"LLE 8c, 10k, 71s"
KNN,"(140001, 2)",0.081607,0.499068,0.521339,0.523665,0.522499,0.500932,0.497862,"t-SNE 2c, 4291s"
KNN,"(140001, 8)",0.263628,0.499004,0.521128,0.527145,0.524120,0.500996,0.497624,"LLE 8c, 10k, 71s"
KNN,"(218886, 46)",6.808343,0.496587,0.490567,0.543471,0.515665,0.503413,0.497225,PCA 46
KNN,"(218886, 27)",2.480552,0.496519,0.490504,0.543415,0.515606,0.503481,0.497157,PCA 27
XTrees,"(63033, 2)",0.479609,0.497454,0.487946,0.474750,0.481258,0.502546,0.497054,"t-SNE 2c, 1389s"
KNN,"(218886, 12)",1.575311,0.496409,0.490400,0.543110,0.515411,0.503591,0.497044,PCA 12
RandFor,"(140001, 46)",10.846749,0.498768,0.529809,0.375860,0.439750,0.501232,0.504794,RF 46
RandFor,"(140001, 2)",9.033518,0.498425,0.523197,0.469579,0.494940,0.501575,0.499839,"t-SNE 2c, 4291s"
KNN,"(140001, 2)",0.141210,0.498168,0.520380,0.525344,0.522850,0.501832,0.496836,"LLE 2c, 10k, 77s"
KNN,"(63033, 2)",0.031328,0.495693,0.487537,0.528933,0.507392,0.504307,0.496279,"t-SNE 2c, 1389s"
XTrees,"(140001, 46)",5.474076,0.497718,0.528928,0.368326,0.434254,0.502282,0.504062,RF 46
RandFor,"(63033, 2)",2.575919,0.494788,0.484959,0.465639,0.475103,0.505212,0.494275,"t-SNE 2c, 1389s"
RandFor,"(140001, 12)",13.052015,0.497161,0.524367,0.422044,0.467674,0.502839,0.500843,"PCA 12, 1.5"
RandFor,"(140001, 25)",7.803257,0.496475,0.523441,0.423313,0.468082,0.503525,0.500062,PCA 27
LinSVC,"(140001, 46)",100.565213,0.495982,0.516657,0.573370,0.543539,0.504018,0.492188,PCA 46
RandFor,"(140001, 46)",17.782932,0.495811,0.525854,0.372666,0.436202,0.504189,0.501848,PCA 46
XTrees,"(140001, 12)",2.808756,0.495682,0.522235,0.427448,0.470111,0.504318,0.499027,"PCA 12, 1.5"
XTrees,"(140001, 25)",4.064490,0.494011,0.521003,0.411849,0.460040,0.505989,0.498039,PCA 27
LinSVC,"(63033, 2)",4.883651,0.493027,0.484191,0.497238,0.490627,0.506973,0.493102,"t-SNE 2c, 1389s"
XTrees,"(140001, 46)",6.333544,0.493561,0.522461,0.376187,0.437420,0.506439,0.499315,PCA 46
LinSVC,"(218886, 46)",186.627585,0.493037,0.474310,0.259409,0.335388,0.506963,0.489860,PCA 46
